Partner Agents' Types: 
[[0 0 0]
 [0 0 0]
 [0 0 0]]
0-th agent's partner agents
1-th agent's partner agents
2-th agent's partner agents
9  partner_trainers finished
0 good agents
1 good agents
2 good agents
3  trainers finished
Using good policy rmaddpg and bad policy rmaddpg with 0 adversaries
Uncertainty type is:  None ; Uncertainty level is:  0.1
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -219.52874775268222, time: 19.114
steps: 49975, episodes: 2000, mean episode reward: -229.0990475693738, time: 88.414
steps: 74975, episodes: 3000, mean episode reward: -195.66885504452662, time: 81.79
steps: 99975, episodes: 4000, mean episode reward: -182.61109025209612, time: 87.879
steps: 124975, episodes: 5000, mean episode reward: -175.92179566677288, time: 88.976
steps: 149975, episodes: 6000, mean episode reward: -169.8243055747756, time: 88.601
steps: 174975, episodes: 7000, mean episode reward: -167.4345476708405, time: 90.435
steps: 199975, episodes: 8000, mean episode reward: -164.77620992677794, time: 91.034
steps: 224975, episodes: 9000, mean episode reward: -161.1021932938252, time: 77.91
steps: 249975, episodes: 10000, mean episode reward: -160.37313744933348, time: 70.279
steps: 274975, episodes: 11000, mean episode reward: -158.33341020983846, time: 71.674
steps: 299975, episodes: 12000, mean episode reward: -156.55249931004485, time: 69.563
steps: 324975, episodes: 13000, mean episode reward: -155.6280521930342, time: 69.861
steps: 349975, episodes: 14000, mean episode reward: -153.45192209115837, time: 70.363
steps: 374975, episodes: 15000, mean episode reward: -151.44589241932337, time: 72.32
steps: 399975, episodes: 16000, mean episode reward: -153.45020221242464, time: 71.837
steps: 424975, episodes: 17000, mean episode reward: -152.4148885514722, time: 73.082
steps: 449975, episodes: 18000, mean episode reward: -150.32622240829104, time: 71.065
steps: 474975, episodes: 19000, mean episode reward: -150.88160524584566, time: 71.524
steps: 499975, episodes: 20000, mean episode reward: -151.64410772342072, time: 70.767
steps: 524975, episodes: 21000, mean episode reward: -149.45440525328513, time: 69.297
steps: 549975, episodes: 22000, mean episode reward: -148.7702049459044, time: 73.169
steps: 574975, episodes: 23000, mean episode reward: -148.9565263812715, time: 73.323
steps: 599975, episodes: 24000, mean episode reward: -148.7400476621989, time: 73.354
steps: 624975, episodes: 25000, mean episode reward: -148.93230148597306, time: 73.427
steps: 649975, episodes: 26000, mean episode reward: -148.35761490450824, time: 70.577
steps: 674975, episodes: 27000, mean episode reward: -147.73430394955795, time: 72.671
steps: 699975, episodes: 28000, mean episode reward: -146.88616105567738, time: 71.726
steps: 724975, episodes: 29000, mean episode reward: -144.8958932074456, time: 72.88
steps: 749975, episodes: 30000, mean episode reward: -145.42345743482224, time: 71.6
steps: 774975, episodes: 31000, mean episode reward: -143.4431907308377, time: 89.626
steps: 799975, episodes: 32000, mean episode reward: -144.96466125826623, time: 91.438
steps: 824975, episodes: 33000, mean episode reward: -144.39739690914817, time: 91.023
steps: 849975, episodes: 34000, mean episode reward: -142.98228885005818, time: 91.422
steps: 874975, episodes: 35000, mean episode reward: -142.61838134623224, time: 91.26
steps: 899975, episodes: 36000, mean episode reward: -142.502107634254, time: 90.782
steps: 924975, episodes: 37000, mean episode reward: -142.29950593326566, time: 92.631
steps: 949975, episodes: 38000, mean episode reward: -141.8507514587332, time: 78.011
steps: 974975, episodes: 39000, mean episode reward: -142.17584487347153, time: 72.8
steps: 999975, episodes: 40000, mean episode reward: -141.93650023118022, time: 67.298
steps: 1024975, episodes: 41000, mean episode reward: -143.44801883269182, time: 71.928
steps: 1049975, episodes: 42000, mean episode reward: -141.47591195543595, time: 69.585
steps: 1074975, episodes: 43000, mean episode reward: -141.9624948945495, time: 72.165
steps: 1099975, episodes: 44000, mean episode reward: -141.79752485642672, time: 72.597
steps: 1124975, episodes: 45000, mean episode reward: -142.20928711252307, time: 73.126
steps: 1149975, episodes: 46000, mean episode reward: -142.32194123265194, time: 71.51
steps: 1174975, episodes: 47000, mean episode reward: -140.77689714600965, time: 72.196
steps: 1199975, episodes: 48000, mean episode reward: -141.4182589673708, time: 71.463
steps: 1224975, episodes: 49000, mean episode reward: -139.7955616596881, time: 73.278
steps: 1249975, episodes: 50000, mean episode reward: -139.39016816649666, time: 75.359
steps: 1274975, episodes: 51000, mean episode reward: -138.76315941324452, time: 71.11
steps: 1299975, episodes: 52000, mean episode reward: -138.15845731582866, time: 73.743
steps: 1324975, episodes: 53000, mean episode reward: -137.72684219233787, time: 73.033
steps: 1349975, episodes: 54000, mean episode reward: -137.6248631198243, time: 72.206
steps: 1374975, episodes: 55000, mean episode reward: -136.4704984474307, time: 71.812
steps: 1399975, episodes: 56000, mean episode reward: -135.3570360892851, time: 72.439
steps: 1424975, episodes: 57000, mean episode reward: -135.05870164395728, time: 71.299
steps: 1449975, episodes: 58000, mean episode reward: -134.49331127770134, time: 68.669
steps: 1474975, episodes: 59000, mean episode reward: -133.40037208847596, time: 72.644
steps: 1499975, episodes: 60000, mean episode reward: -132.62926306406536, time: 72.224
steps: 1524975, episodes: 61000, mean episode reward: -134.6527962189935, time: 72.487
steps: 1549975, episodes: 62000, mean episode reward: -132.9206771922337, time: 72.476
steps: 1574975, episodes: 63000, mean episode reward: -133.47237713324674, time: 72.551
steps: 1599975, episodes: 64000, mean episode reward: -133.26172157033724, time: 66.691
steps: 1624975, episodes: 65000, mean episode reward: -133.55301346558403, time: 72.565
steps: 1649975, episodes: 66000, mean episode reward: -132.9672115015482, time: 72.578
steps: 1674975, episodes: 67000, mean episode reward: -132.42565877525573, time: 72.471
steps: 1699975, episodes: 68000, mean episode reward: -131.72226237090578, time: 72.712
steps: 1724975, episodes: 69000, mean episode reward: -133.05823250142356, time: 73.149
steps: 1749975, episodes: 70000, mean episode reward: -131.46548051604273, time: 72.829
steps: 1774975, episodes: 71000, mean episode reward: -131.86188651868918, time: 72.445
steps: 1799975, episodes: 72000, mean episode reward: -131.10766889639507, time: 73.027
steps: 1824975, episodes: 73000, mean episode reward: -131.18553218982566, time: 72.795
steps: 1849975, episodes: 74000, mean episode reward: -130.32527348776534, time: 70.175
steps: 1874975, episodes: 75000, mean episode reward: -129.70692317310133, time: 72.137
steps: 1899975, episodes: 76000, mean episode reward: -129.4307294685966, time: 71.272
steps: 1924975, episodes: 77000, mean episode reward: -129.5118464816451, time: 72.119
