Partner Agents' Types: 
[[0 0]
 [0 0]]
0-th agent's partner agents
1-th agent's partner agents
4  partner_trainers finished
0 good agents
1 good agents
2  trainers finished
Using good policy rmaddpg and bad policy rmaddpg with 0 adversaries
Uncertainty type is:  None ; Uncertainty level is:  0.5
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -227.74763223262656, time: 10.188
steps: 49975, episodes: 2000, mean episode reward: -638.4102355270171, time: 32.27
steps: 74975, episodes: 3000, mean episode reward: -134.5327882575057, time: 31.322
steps: 99975, episodes: 4000, mean episode reward: -116.6611443232864, time: 30.329
steps: 124975, episodes: 5000, mean episode reward: -105.23811151066842, time: 32.831
steps: 149975, episodes: 6000, mean episode reward: -101.369175134336, time: 33.262
steps: 174975, episodes: 7000, mean episode reward: -99.65078145719704, time: 31.376
steps: 199975, episodes: 8000, mean episode reward: -102.5855835714902, time: 31.194
steps: 224975, episodes: 9000, mean episode reward: -104.21832127351648, time: 32.046
steps: 249975, episodes: 10000, mean episode reward: -101.99098826860026, time: 31.373
steps: 274975, episodes: 11000, mean episode reward: -99.91972608540713, time: 31.978
steps: 299975, episodes: 12000, mean episode reward: -102.37119061878745, time: 31.327
steps: 324975, episodes: 13000, mean episode reward: -105.0406164758743, time: 31.096
steps: 349975, episodes: 14000, mean episode reward: -95.8174004783653, time: 31.073
steps: 374975, episodes: 15000, mean episode reward: -94.33500150911131, time: 30.922
steps: 399975, episodes: 16000, mean episode reward: -93.804622610527, time: 31.202
steps: 424975, episodes: 17000, mean episode reward: -91.08020031418593, time: 31.187
steps: 449975, episodes: 18000, mean episode reward: -87.91570104447406, time: 30.985
steps: 474975, episodes: 19000, mean episode reward: -90.50642186191119, time: 31.371
steps: 499975, episodes: 20000, mean episode reward: -87.50595376129792, time: 31.179
steps: 524975, episodes: 21000, mean episode reward: -90.31059057734869, time: 31.331
steps: 549975, episodes: 22000, mean episode reward: -86.89896658363546, time: 31.225
steps: 574975, episodes: 23000, mean episode reward: -86.4150250938767, time: 31.165
steps: 599975, episodes: 24000, mean episode reward: -84.78945702931925, time: 31.586
steps: 624975, episodes: 25000, mean episode reward: -83.67333540389663, time: 31.2
steps: 649975, episodes: 26000, mean episode reward: -81.02948388762657, time: 31.48
steps: 674975, episodes: 27000, mean episode reward: -80.87798305649444, time: 31.683
steps: 699975, episodes: 28000, mean episode reward: -82.03657033607189, time: 31.284
steps: 724975, episodes: 29000, mean episode reward: -81.55140309432915, time: 31.608
steps: 749975, episodes: 30000, mean episode reward: -81.05000587102289, time: 31.027
steps: 774975, episodes: 31000, mean episode reward: -86.09487376927386, time: 31.19
steps: 799975, episodes: 32000, mean episode reward: -88.31969861743244, time: 31.809
steps: 824975, episodes: 33000, mean episode reward: -84.3296033010626, time: 31.109
steps: 849975, episodes: 34000, mean episode reward: -79.47010514150338, time: 31.437
steps: 874975, episodes: 35000, mean episode reward: -85.76279998372559, time: 31.874
steps: 899975, episodes: 36000, mean episode reward: -82.35238749242299, time: 31.688
steps: 924975, episodes: 37000, mean episode reward: -85.33300528373427, time: 31.436
steps: 949975, episodes: 38000, mean episode reward: -85.85890121198489, time: 31.625
steps: 974975, episodes: 39000, mean episode reward: -91.2378464181928, time: 32.427
steps: 999975, episodes: 40000, mean episode reward: -92.7189510315643, time: 34.077
steps: 1024975, episodes: 41000, mean episode reward: -91.82210425885923, time: 31.794
steps: 1049975, episodes: 42000, mean episode reward: -89.98055421260439, time: 31.83
steps: 1074975, episodes: 43000, mean episode reward: -87.88636119133243, time: 31.189
steps: 1099975, episodes: 44000, mean episode reward: -81.31703066317102, time: 32.253
steps: 1124975, episodes: 45000, mean episode reward: -80.58462245980557, time: 32.145
steps: 1149975, episodes: 46000, mean episode reward: -79.29104070816771, time: 32.701
steps: 1174975, episodes: 47000, mean episode reward: -77.75995441827557, time: 32.025
steps: 1199975, episodes: 48000, mean episode reward: -78.45745236022411, time: 33.389
steps: 1224975, episodes: 49000, mean episode reward: -76.44956275058215, time: 32.466
steps: 1249975, episodes: 50000, mean episode reward: -76.66278578847722, time: 31.601
steps: 1274975, episodes: 51000, mean episode reward: -74.27006756934719, time: 31.55
steps: 1299975, episodes: 52000, mean episode reward: -75.96155732510495, time: 32.165
steps: 1324975, episodes: 53000, mean episode reward: -79.16799025734248, time: 32.956
steps: 1349975, episodes: 54000, mean episode reward: -82.93500773716433, time: 33.011
steps: 1374975, episodes: 55000, mean episode reward: -79.89640467562235, time: 31.721
